;sp1;sp2;sp1_inc;sp2_inc;obs_cooccur;prob_cooccur;exp_cooccur;p_lt;p_gt;Negative_association;Positive_association;sp1_name;sp2_name;Experimento
1;1;2;18;35;10;0.129;9;0.79373;0.39254;0;0;Ursus.arctos;Ursus.spelaeus;1
2;1;3;18;7;3;0.026;1.8;0.93328;0.251;0;0;Ursus.arctos;Panthera.spelaea;1
3;1;4;18;6;2;0.022;1.5;0.82797;0.48794;0;0;Ursus.arctos;Panthera.leo;1
4;1;5;18;11;2;0.04;2.8;0.41965;0.84049;0;0;Ursus.arctos;Panthera.pardus;1
5;1;6;18;10;4;0.037;2.6;0.92927;0.22776;0;0;Ursus.arctos;Felis.silvestris;1
6;1;7;18;30;11;0.11;7.7;0.98165;0.06226;0;0;Ursus.arctos;Crocuta.crocuta;1
7;1;8;18;41;14;0.151;10.5;0.98801;0.04808;0;1;Ursus.arctos;Canis.lupus;1
8;1;9;18;39;10;0.143;10;0.60021;0.616;0;0;Ursus.arctos;Vulpes.vulpes;1
9;1;10;18;2;0;0.007;0.5;0.54907;1;0;0;Ursus.arctos;Vulpes.lagopus;1
10;1;11;18;12;1;0.044;3.1;0.1216;0.9806;0;0;Ursus.arctos;Meles.meles;1
11;1;12;18;51;10;0.187;13.1;0.05671;0.98493;0;0;Ursus.arctos;Homo_neand;1
12;1;13;18;2;2;0.007;0.5;1;0.06335;0;0;Ursus.arctos;Homo.sapiens;1
13;2;3;35;7;5;0.05;3.5;0.947;0.21413;0;0;Ursus.spelaeus;Panthera.spelaea;1
14;2;4;35;6;4;0.043;3;0.90096;0.33664;0;0;Ursus.spelaeus;Panthera.leo;1
15;2;5;35;11;6;0.079;5.5;0.74352;0.5;0;0;Ursus.spelaeus;Panthera.pardus;1
16;2;6;35;10;6;0.071;5;0.84706;0.36717;0;0;Ursus.spelaeus;Felis.silvestris;1
17;2;7;35;30;20;0.214;15;0.9963;0.01448;0;1;Ursus.spelaeus;Crocuta.crocuta;1
18;2;8;35;41;28;0.293;20.5;0.99996;0.00028;0;1;Ursus.spelaeus;Canis.lupus;1
19;2;9;35;39;24;0.279;19.5;0.99226;0.02672;0;1;Ursus.spelaeus;Vulpes.vulpes;1
20;2;10;35;2;0;0.014;1;0.24638;1;0;0;Ursus.spelaeus;Vulpes.lagopus;1
21;2;11;35;12;9;0.086;6;0.98828;0.05516;0;0;Ursus.spelaeus;Meles.meles;1
22;2;12;35;51;22;0.364;25.5;0.05275;0.98499;0;0;Ursus.spelaeus;Homo_neand;1
23;2;13;35;2;2;0.014;1;1;0.24638;0;0;Ursus.spelaeus;Homo.sapiens;1
24;3;4;7;6;0;0.009;0.6;0.51821;1;0;0;Panthera.spelaea;Panthera.leo;1
25;3;5;7;11;1;0.016;1.1;0.69803;0.71542;0;0;Panthera.spelaea;Panthera.pardus;1
26;3;6;7;10;0;0.014;1;0.32217;1;0;0;Panthera.spelaea;Felis.silvestris;1
27;3;7;7;30;4;0.043;3;0.88577;0.3401;0;0;Panthera.spelaea;Crocuta.crocuta;1
28;3;8;7;41;6;0.059;4.1;0.98125;0.12753;0;0;Panthera.spelaea;Canis.lupus;1
29;3;9;7;39;4;0.056;3.9;0.67946;0.62895;0;0;Panthera.spelaea;Vulpes.vulpes;1
30;3;10;7;2;1;0.003;0.2;0.9913;0.1913;0;0;Panthera.spelaea;Vulpes.lagopus;1
31;3;11;7;12;1;0.017;1.2;0.65599;0.74918;0;0;Panthera.spelaea;Meles.meles;1
32;3;12;7;51;3;0.073;5.1;0.0809;0.98644;0;0;Panthera.spelaea;Homo_neand;1
