Species;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Ursus.spelaeus;0;0.829673732;0.801723143;0.79387252;0.68515908;0.863239957;0.856790955;0.699429767;0.851237256;0.704691984;0.488569386;0.786850392;0.78161581;27
Ursus.arctos;0.829673732;0;0.813190362;0.848295204;0.731950821;0.877667251;0.915222148;0.759552406;0.899400101;0.764376405;0.583853784;0.817033957;0.862874561;27
Panthera.spelaea;0.801723143;0.813190362;0;0.842751399;0.665700016;0.78776308;0.816758852;0.710548614;0.775745684;0.779577585;0.565899973;0.735869663;0.791058805;27
Panthera.leo;0.79387252;0.848295204;0.842751399;0;0.712872335;0.809522688;0.855312091;0.786419319;0.797979811;0.83911973;0.594897815;0.781743446;0.842084472;27
Panthera.pardus;0.68515908;0.731950821;0.665700016;0.712872335;0;0.732259418;0.71065213;0.757052537;0.757878705;0.665157151;0.705456164;0.833197221;0.731870428;27
Crocuta.crocuta;0.863239957;0.877667251;0.78776308;0.809522688;0.732259418;0;0.88888967;0.738423148;0.886199882;0.729487419;0.538799249;0.843734099;0.845125543;27
Canis.lupus;0.856790955;0.915222148;0.816758852;0.855312091;0.71065213;0.88888967;0;0.759230112;0.905763629;0.766612117;0.550034039;0.815051887;0.888791437;27
Meles.meles;0.699429767;0.759552406;0.710548614;0.786419319;0.757052537;0.738423148;0.759230112;0;0.73784188;0.76119915;0.685730992;0.773221611;0.785242156;27
Vulpes.vulpes;0.851237256;0.899400101;0.775745684;0.797979811;0.757878705;0.886199882;0.905763629;0.73784188;0;0.70956821;0.560294067;0.852983236;0.853194647;27
Vulpes.lagopus;0.704691984;0.764376405;0.779577585;0.83911973;0.665157151;0.729487419;0.766612117;0.76119915;0.70956821;0;0.602814662;0.708606308;0.789135277;27
Felis.silvestris;0.488569386;0.583853784;0.565899973;0.594897815;0.705456164;0.538799249;0.550034039;0.685730992;0.560294067;0.602814662;0;0.61499051;0.605626683;27
Homo_neand;0.786850392;0.817033957;0.735869663;0.781743446;0.833197221;0.843734099;0.815051887;0.773221611;0.852983236;0.708606308;0.61499051;0;0.820856996;27
Homo.sapiens;0.78161581;0.862874561;0.791058805;0.842084472;0.731870428;0.845125543;0.888791437;0.785242156;0.853194647;0.789135277;0.605626683;0.820856996;0;27
Ursus.spelaeus;0;0.829914714;0.80038116;0.79220776;0.680679904;0.862060523;0.85721961;0.694877008;0.851136887;0.700918561;0.482092985;0.782952419;0.783944499;28
Ursus.arctos;0.829914714;0;0.810008733;0.843704101;0.729757245;0.877321659;0.912940125;0.756547436;0.89702364;0.758013454;0.57585318;0.816049723;0.862793952;28
Panthera.spelaea;0.80038116;0.810008733;0;0.842385209;0.667229846;0.786097993;0.816728722;0.712028977;0.773007433;0.778757965;0.564601519;0.737214084;0.79405609;28
Panthera.leo;0.79220776;0.843704101;0.842385209;0;0.712971148;0.807486606;0.851727799;0.784953439;0.793285029;0.835213839;0.591214074;0.781396382;0.841771205;28
Panthera.pardus;0.680679904;0.729757245;0.667229846;0.712971148;0;0.728414999;0.708189878;0.756418041;0.754443693;0.668209907;0.705648342;0.83317931;0.733073808;28
Crocuta.crocuta;0.862060523;0.877321659;0.786097993;0.807486606;0.728414999;0;0.888544729;0.732756717;0.885038789;0.724632469;0.532354433;0.840205637;0.846909784;28
Canis.lupus;0.85721961;0.912940125;0.816728722;0.851727799;0.708189878;0.888544729;0;0.753685575;0.904496196;0.759354203;0.54118959;0.813763402;0.889158759;28
Meles.meles;0.694877008;0.756547436;0.712028977;0.784953439;0.756418041;0.732756717;0.753685575;0;0.730587504;0.763838638;0.683930479;0.774246171;0.78278662;28
Vulpes.vulpes;0.851136887;0.89702364;0.773007433;0.793285029;0.754443693;0.885038789;0.904496196;0.730587504;0;0.702031275;0.550441576;0.849775311;0.852694123;28
Vulpes.lagopus;0.700918561;0.758013454;0.778757965;0.835213839;0.668209907;0.724632469;0.759354203;0.763838638;0.702031275;0;0.605376869;0.710236145;0.784646359;28
Felis.silvestris;0.482092985;0.57585318;0.564601519;0.591214074;0.705648342;0.532354433;0.54118959;0.683930479;0.550441576;0.605376869;0;0.614502339;0.601299089;28
