Species;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Ursus.spelaeus;0;3707;2549;3703;1557;3525;3765;2403;3466;3212;1467;2159;3302;27
Ursus.arctos;3707;0;2727;4452;1896;4297;4930;2855;4457;3797;2238;2604;4214;27
Panthera.spelaea;2549;2727;0;2921;859;2516;2831;1483;2439;2570;893;1278;2374;27
Panthera.leo;3703;4452;2921;;1626;4121;4705;2743;3915;4106;1580;2333;4051;27
Panthera.pardus;1557;1896;859;1626;0;1798;1827;1564;1979;1431;1288;1715;1860;27
Crocuta.crocuta;3525;4297;2516;4121;1798;0;4404;2680;3973;3440;1758;2484;3921;27
Canis.lupus;3765;4930;2831;4705;1827;4404;0;2852;4456;3841;2026;2603;4448;27
Meles.meles;2403;2855;1483;2743;1564;2680;2852;0;2732;2355;1281;2101;2602;27
Vulpes.vulpes;3466;4457;2439;3915;1979;3973;4456;2732;0;3201;2211;2641;3988;27
Vulpes.lagopus;3212;3797;2570;4106;1431;3440;3841;2355;3201;0;1231;2006;3360;27
Felis.silvestris;1467;2238;893;1580;1288;1758;2026;1281;2211;1231;0;1438;1790;27
Homo_neand;2159;2604;1278;2333;1715;2484;2603;2101;2641;2006;1438;0;2569;27
Homo.sapiens;3302;4214;2374;4051;1860;3921;4448;2602;3988;3360;1790;2569;0;27
Ursus.spelaeus;0;3617;2497;3591;1509;3411;3645;2343;3340;3140;1400;2071;3203;28
Ursus.arctos;3617;0;2644;4342;1836;4189;4811;2835;4345;3725;2163;2502;4065;28
Panthera.spelaea;2497;2644;0;2792;866;2440;2760;1449;2371;2469;877;1262;2328;28
Panthera.leo;3591;4342;2792;;1570;3996;4577;2676;3821;3992;1531;2233;3926;28
Panthera.pardus;1509;1836;866;1570;0;1711;1765;1530;1930;1375;1275;1650;1793;28
Crocuta.crocuta;3411;4189;2440;3996;1711;0;4263;2608;3833;3386;1656;2357;3782;28
Canis.lupus;3645;4811;2760;4577;1765;4263;0;2814;4351;3745;1957;2492;4305;28
Meles.meles;2343;2835;1449;2676;1530;2608;2814;0;2701;2301;1257;2035;2557;28
Vulpes.vulpes;3340;4345;2371;3821;1930;3833;4351;2701;0;3138;2123;2538;3895;28
Vulpes.lagopus;3140;3725;2469;3992;1375;3386;3745;2301;3138;0;1206;1931;3274;28
Felis.silvestris;1400;2163;877;1531;1275;1656;1957;1257;2123;1206;0;1372;1733;28
Homo_neand;2071;2502;1262;2233;1650;2357;2492;2035;2538;1931;1372;0;2462;28
Homo.sapiens;3203;4065;2328;3926;1793;3782;4305;2557;3895;3274;1733;2462;0;28
Ursus.spelaeus;0;3538;2587;3542;1423;3337;3591;2236;3241;3082;1343;1984;3199;29
Ursus.arctos;3538;0;2701;4287;1771;4111;4709;2754;4248;3658;2076;2409;4051;29
Panthera.spelaea;2587;2701;0;2902;868;2502;2824;1449;2412;2600;860;1293;2436;29
Panthera.leo;3542;4287;2902;;1489;3904;4534;2561;3755;3935;1483;2135;3940;29
Panthera.pardus;1423;1771;868;1489;0;1648;1699;1483;1837;1300;1221;1574;1711;29
Crocuta.crocuta;3337;4111;2502;3904;1648;0;4203;2503;3750;3336;1591;2260;3779;29
Canis.lupus;3591;4709;2824;4534;1699;4203;0;2724;4258;3684;1878;2397;4324;29
Meles.meles;2236;2754;1449;2561;1483;2503;2724;0;2606;2185;1242;1946;2502;29
Vulpes.vulpes;3241;4248;2412;3755;1837;3750;4258;2606;0;3083;2043;2446;3884;29
Vulpes.lagopus;3082;3658;2600;3935;1300;3336;3684;2185;3083;0;1151;1819;3252;29
Felis.silvestris;1343;2076;860;1483;1221;1591;1878;1242;2043;1151;0;1349;1688;29
Homo_neand;1984;2409;1293;2135;1574;2260;2397;1946;2446;1819;1349;0;2345;29
Homo.sapiens;3199;4051;2436;3940;1711;3779;4324;2502;3884;3252;1688;2345;0;29
Ursus.spelaeus;0;3403;2457;3380;1371;3196;3426;2135;3085;2992;1283;1880;3074;30
Ursus.arctos;3403;0;2548;4084;1712;3950;4528;2695;4118;3560;2001;2271;3875;30
Panthera.spelaea;2457;2548;0;2704;820;2358;2665;1376;2252;2457;789;1182;2305;30
Panthera.leo;3380;4084;2704;;1440;3693;4328;2453;3583;3806;1408;2018;3751;30
Panthera.pardus;1371;1712;820;1440;0;1560;1619;1439;1774;1292;1189;1498;1627;30
Crocuta.crocuta;3196;3950;2358;3693;1560;0;3990;2392;3535;3242;1485;2116;3569;30
Canis.lupus;3426;4528;2665;4328;1619;3990;0;2614;4078;3607;1795;2249;4108;30
Meles.meles;2135;2695;1376;2453;1439;2392;2614;0;2528;2116;1221;1862;2400;30
Vulpes.vulpes;3085;4118;2252;3583;1774;3535;4078;2528;0;3018;1978;2312;3691;30
Vulpes.lagopus;2992;3560;2457;3806;1292;3242;3607;2116;3018;0;1159;1746;3199;30
Felis.silvestris;1283;2001;789;1408;1189;1485;1795;1221;1978;1159;0;1257;1611;30
Homo_neand;1880;2271;1182;2018;1498;2116;2249;1862;2312;1746;1257;0;2210;30
Homo.sapiens;3074;3875;2305;3751;1627;3569;4108;2400;3691;3199;1611;2210;0;30
Ursus.spelaeus;0;3242;2332;3187;1318;3009;3261;2093;2926;2892;1205;1740;2895;31
Ursus.arctos;3242;0;2396;3869;1635;3689;4320;2651;3901;3445;1912;2083;3633;31
Panthera.spelaea;2332;2396;0;2492;790;2219;2516;1369;2140;2307;721;1103;2151;31
Panthera.leo;3187;3869;2492;;1418;3455;4107;2418;3384;3631;1343;1899;3528;31
Panthera.pardus;1318;1635;790;1418;0;1502;1550;1430;1699;1296;1156;1451;1564;31
Crocuta.crocuta;3009;3689;2219;3455;1502;0;3712;2318;3274;3087;1371;1943;3310;31
Canis.lupus;3261;4320;2516;4107;1550;3712;0;2545;3882;3490;1711;2077;3854;31
Meles.meles;2093;2651;1369;2418;1430;2318;2545;0;2460;2078;1199;1754;2312;31
Vulpes.vulpes;2926;3901;2140;3384;1699;3274;3882;2460;0;2893;1897;2123;3438;31
Vulpes.lagopus;2892;3445;2307;3631;1296;3087;3490;2078;2893;0;1148;1648;3080;31
Felis.silvestris;1205;1912;721;1343;1156;1371;1711;1199;1897;1148;0;1146;1510;31
Homo_neand;1740;2083;1103;1899;1451;1943;2077;1754;2123;1648;1146;0;2047;31
Homo.sapiens;2895;3633;2151;3528;1564;3310;3854;2312;3438;3080;1510;2047;0;31
Ursus.spelaeus;0;3203;2364;3130;1251;2962;3223;2050;2848;2821;1216;1728;2892;32
Ursus.arctos;3203;0;2431;3808;1552;3668;4255;2548;3820;3372;1868;2088;3618;32
Panthera.spelaea;2364;2431;0;2562;767;2249;2582;1372;2178;2349;767;1129;2247;32
Panthera.leo;3130;3808;2562;;1327;3427;4110;2334;3345;3599;1313;1838;3524;32
Panthera.pardus;1251;1552;767;1327;0;1446;1495;1334;1615;1180;1134;1381;1515;32
Crocuta.crocuta;2962;3668;2249;3427;1446;0;3696;2252;3246;3044;1345;1918;3315;32
Canis.lupus;3223;4255;2582;4110;1495;3696;0;2477;3842;3471;1700;2071;3868;32
Meles.meles;2050;2548;1372;2334;1334;2252;2477;0;2390;1993;1184;1711;2259;32
Vulpes.vulpes;2848;3820;2178;3345;1615;3246;3842;2390;0;2837;1854;2108;3481;32
Vulpes.lagopus;2821;3372;2349;3599;1180;3044;3471;1993;2837;0;1111;1574;3035;32
Felis.silvestris;1216;1868;767;1313;1134;1345;1700;1184;1854;1111;0;1160;1498;32
Homo_neand;1728;2088;1129;1838;1381;1918;2071;1711;2108;1574;1160;0;2036;32
Homo.sapiens;2892;3618;2247;3524;1515;3315;3868;2259;3481;3035;1498;2036;0;32
Ursus.spelaeus;0;3151;2384;3083;1192;2906;3184;1951;2814;2716;1213;1675;2869;33
Ursus.arctos;3151;0;2434;3728;1504;3593;4200;2424;3757;3281;1857;2020;3603;33
Panthera.spelaea;2384;2434;0;2585;756;2250;2578;1317;2197;2285;787;1137;2263;33
Panthera.leo;3083;3728;2585;;1238;3324;4019;2168;3254;3514;1256;1745;3471;33
Panthera.pardus;1192;1504;756;1238;0;1382;1446;1283;1541;1094;1115;1307;1459;33
Crocuta.crocuta;2906;3593;2250;3324;1382;0;3639;2145;3189;2937;1327;1860;3291;33
Canis.lupus;3184;4200;2578;4019;1446;3639;0;2360;3763;3398;1664;1995;3858;33
Meles.meles;1951;2424;1317;2168;1283;2145;2360;0;2296;1842;1135;1624;2192;33
