;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Ursus.spelaeus;0;0.977267888;0.964532789;0.963864109;0.906633891;0.97968019;0.983960302;0.914814052;0.980255413;0.921253946;0.799751693;0.955629687;0.958106306;27
Ursus.arctos;0.977267888;0;0.97086538;0.975905419;0.93879468;0.986746531;0.993030674;0.940537343;0.991410823;0.947247242;0.855118106;0.971041767;0.981363771;27
Panthera.spelaea;0.964532789;0.97086538;0;0.979375139;0.908536758;0.961187609;0.971616253;0.930941318;0.958976;0.952065232;0.851609408;0.947498315;0.965057219;27
Panthera.leo;0.963864109;0.975905419;0.979375139;0;0.932963793;0.966353607;0.977440379;0.958588942;0.962988476;0.975158549;0.876442206;0.962291492;0.974803208;27
Panthera.pardus;0.906633891;0.93879468;0.908536758;0.932963793;0;0.930228667;0.922036149;0.954231585;0.940893544;0.910042202;0.937651506;0.973654551;0.933454756;27
Crocuta.crocuta;0.97968019;0.986746531;0.961187609;0.966353607;0.930228667;0;0.986508266;0.925763311;0.986403401;0.935220926;0.824522791;0.973034564;0.975609448;27
Canis.lupus;0.983960302;0.993030674;0.971616253;0.977440379;0.922036149;0.986508266;0;0.932562948;0.991630573;0.946386412;0.832868066;0.965328237;0.986361523;27
Meles.meles;0.914814052;0.940537343;0.930941318;0.958588942;0.954231585;0.925763311;0.932562948;0;0.928600568;0.953538004;0.918053893;0.957629899;0.943662924;27
Vulpes.vulpes;0.980255413;0.991410823;0.958976;0.962988476;0.940893544;0.986403401;0.991630573;0.928600568;0;0.92697701;0.84279094;0.97557447;0.978350547;27
Vulpes.lagopus;0.921253946;0.947247242;0.952065232;0.975158549;0.910042202;0.935220926;0.946386412;0.953538004;0.92697701;0;0.875416303;0.934533646;0.957430056;27
Felis.silvestris;0.799751693;0.855118106;0.851609408;0.876442206;0.937651506;0.824522791;0.832868066;0.918053893;0.84279094;0.875416303;0;0.891942915;0.857763573;27
Homo_neand;0.955629687;0.971041767;0.947498315;0.962291492;0.973654551;0.973034564;0.965328237;0.957629899;0.97557447;0.934533646;0.891942915;0;0.966456541;27
Homo.sapiens;0.958106306;0.981363771;0.965057219;0.974803208;0.933454756;0.975609448;0.986361523;0.943662924;0.978350547;0.957430056;0.857763573;0.966456541;0;27
Ursus.spelaeus1;0;0.977101108;0.963789852;0.962933335;0.904652701;0.979353056;0.983870517;0.914034125;0.979776449;0.918771387;0.796344137;0.954302072;0.958775212;28
Ursus.arctos1;0.977101108;0;0.969817557;0.974780706;0.937584489;0.986627671;0.99266576;0.939715809;0.991037398;0.944621867;0.851324547;0.970489384;0.981371421;28
Panthera.spelaea1;0.963789852;0.969817557;0;0.979313723;0.90866377;0.960328198;0.971188367;0.93229331;0.957337117;0.951711602;0.850778898;0.947612878;0.965898842;28
Panthera.leo1;0.962933335;0.974780706;0.979313723;0;0.932863642;0.965642649;0.976399038;0.958429997;0.960892553;0.974080452;0.875044559;0.962049353;0.974455853;28
Panthera.pardus1;0.904652701;0.937584489;0.90866377;0.932863642;0;0.929135114;0.920577285;0.953861402;0.938784395;0.911042336;0.937882531;0.973686777;0.933436244;28
Crocuta.crocuta1;0.979353056;0.986627671;0.960328198;0.965642649;0.929135114;0;0.986220234;0.925128852;0.986032995;0.932601305;0.821595641;0.972216487;0.975784545;28
Canis.lupus1;0.983870517;0.99266576;0.971188367;0.976399038;0.920577285;0.986220234;0;0.931478747;0.99128003;0.94315316;0.828900545;0.964448835;0.986291047;28
Meles.meles1;0.914034125;0.939715809;0.93229331;0.958429997;0.953861402;0.925128852;0.931478747;0;0.92615233;0.954925034;0.917084512;0.958463655;0.944043365;28
Vulpes.vulpes1;0.979776449;0.991037398;0.957337117;0.960892553;0.938784395;0.986032995;0.99128003;0.92615233;0;0.922705358;0.837013827;0.974181191;0.978208538;28
Vulpes.lagopus1;0.918771387;0.944621867;0.951711602;0.974080452;0.911042336;0.932601305;0.94315316;0.954925034;0.922705358;0;0.877015795;0.934974019;0.955743733;28
Felis.silvestris1;0.796344137;0.851324547;0.850778898;0.875044559;0.937882531;0.821595641;0.828900545;0.917084512;0.837013827;0.877015795;0;0.891930867;0.855851958;28
Homo_neand1;0.954302072;0.970489384;0.947612878;0.962049353;0.973686777;0.972216487;0.964448835;0.958463655;0.974181191;0.934974019;0.891930867;0;0.967212111;28
Homo.sapiens1;0.958775212;0.981371421;0.965898842;0.974455853;0.933436244;0.975784545;0.986291047;0.944043365;0.978208538;0.955743733;0.855851958;0.967212111;0;28
Ursus.spelaeus2;0;0.976448885;0.962365136;0.962100526;0.899362133;0.978336583;0.983964885;0.909944247;0.978925362;0.91668771;0.79052378;0.950858052;0.960291728;29
Ursus.arctos2;0.976448885;0;0.967935861;0.973364732;0.934239345;0.985883185;0.992284939;0.937684288;0.990306633;0.941824533;0.844518843;0.968921673;0.982205915;29
Panthera.spelaea2;0.962365136;0.967935861;0;0.978320606;0.903300783;0.958276693;0.969911617;0.931481002;0.954223891;0.950692932;0.844215239;0.946133725;0.966020497;29
Panthera.leo2;0.962100526;0.973364732;0.978320606;0;0.929839203;0.964154932;0.974776115;0.95623371;0.958140778;0.972705728;0.870002069;0.959789785;0.973362347;29
Panthera.pardus2;0.899362133;0.934239345;0.903300783;0.929839203;0;0.923521055;0.916111871;0.952140253;0.934361522;0.90833045;0.936431866;0.971976507;0.930114716;29
Crocuta.crocuta2;0.978336583;0.985883185;0.958276693;0.964154932;0.923521055;0;0.985712441;0.920447155;0.984518524;0.928464493;0.811435891;0.969521084;0.976968332;29
Canis.lupus2;0.983964885;0.992284939;0.969911617;0.974776115;0.916111871;0.985712441;0;0.92781821;0.990897969;0.938661068;0.821089731;0.962094231;0.986136062;29
Meles.meles2;0.909944247;0.937684288;0.931481002;0.95623371;0.952140253;0.920447155;0.92781821;0;0.922201134;0.9529119;0.915256281;0.957244554;0.940985787;29
Vulpes.vulpes2;0.978925362;0.990306633;0.954223891;0.958140778;0.934361522;0.984518524;0.990897969;0.922201134;0;0.917806922;0.827705922;0.971896498;0.978564274;29
Vulpes.lagopus2;0.91668771;0.941824533;0.950692932;0.972705728;0.90833045;0.928464493;0.938661068;0.9529119;0.917806922;0;0.87608285;0.93186179;0.951357225;29
Felis.silvestris2;0.79052378;0.844518843;0.844215239;0.870002069;0.936431866;0.811435891;0.821089731;0.915256281;0.827705922;0.87608285;0;0.887873252;0.845562013;29
